Date;booking-luxury-b2b_reservations_kpi;booking-luxury-b2b_reservations_id;booking-luxury-b2b_trev_net;booking-luxury-b2b_trev_gross;booking-luxury-b2c_reservations_kpi;booking-luxury-b2c_reservations_id;booking-luxury-b2c_trev_net;booking-luxury-b2c_trev_gross;booking-rest-b2b_reservations_kpi;booking-rest-b2b_reservations_id;booking-rest-b2b_trev_net;booking-rest-b2b_trev_gross;booking-rest-b2c_reservations_kpi;booking-rest-b2c_reservations_id;booking-rest-b2c_trev_net;booking-rest-b2c_trev_gross;dir_web-luxury-b2b_reservations_kpi;dir_web-luxury-b2b_reservations_id;dir_web-luxury-b2b_trev_net;dir_web-luxury-b2b_trev_gross;dir_web-luxury-b2c_reservations_kpi;dir_web-luxury-b2c_reservations_id;dir_web-luxury-b2c_trev_net;dir_web-luxury-b2c_trev_gross;dir_web-rest-b2b_reservations_kpi;dir_web-rest-b2b_reservations_id;dir_web-rest-b2b_trev_net;dir_web-rest-b2b_trev_gross;dir_web-rest-b2c_reservations_kpi;dir_web-rest-b2c_reservations_id;dir_web-rest-b2c_trev_net;dir_web-rest-b2c_trev_gross;resto_otas-luxury-b2b_reservations_kpi;resto_otas-luxury-b2b_reservations_id;resto_otas-luxury-b2b_trev_net;resto_otas-luxury-b2b_trev_gross;resto_otas-luxury-b2c_reservations_kpi;resto_otas-luxury-b2c_reservations_id;resto_otas-luxury-b2c_trev_net;resto_otas-luxury-b2c_trev_gross;resto_otas-rest-b2b_reservations_kpi;resto_otas-rest-b2b_reservations_id;resto_otas-rest-b2b_trev_net;resto_otas-rest-b2b_trev_gross;resto_otas-rest-b2c_reservations_kpi;resto_otas-rest-b2c_reservations_id;resto_otas-rest-b2c_trev_net;resto_otas-rest-b2c_trev_gross
2022-06-06;;;;;107.0;107;58303.510099;68355.770938;45.0;45.0;5202.737175;5863.874755;5835.316666666667;5848;603745.777298333;721175.930292459;2.0;2.0;640.288092;640.288092;70.4074074074074;71;38023.841725;38023.841725;840.3359307359307;862;138388.394028075;145525.909135452;4548.299206349207;4555;858013.353142424;859646.025296372;;;;;19.0;19;12315.951112;13959.827197;118.14285714285714;119;15366.798463756;18025.062670949;1267.0075757575758;1271;167726.634061943;194025.928738554
2022-06-13;;;;;88.66666666666666;89;40478.97668;47747.434016;9.0;9.0;1150.88029;1242.954374;5359.873015873016;5365;601027.069416759;717899.424309793;8.5;9.0;1546.749176;1546.749176;57.0;57;40310.33144;42649.076639;706.9681818181818;722;142903.710775737;149902.510784546;4314.75;4321;790192.303884402;793454.156087402;;;;;9.0;9;9006.056892;10687.198932;116.0;116;14634.464898995;17206.789915995;1131.3;1133;162128.853654217;186367.610342717
2022-06-20;;;;;88.99999999999999;89;53852.189633;63601.262414;11.0;11.0;2284.6338090000004;2425.9618050000004;5399.122943722943;5406;602208.564430013;719232.952110147;1.0;1.0;0.0;0.0;61.49999999999999;62;43272.4753;43651.030018;615.1277777777777;631;107890.83104911;111646.71439311;3933.8;3942;751544.256962885;753024.654119737;1.0;1.0;190.588736;226.322134;11.0;11;7377.956833;8654.42936;107.0;107;12810.405343951;14986.099457441;1149.6666666666667;1150;143175.744636979;165534.827134503
2022-06-27;2.0;2.0;3303.023848;3948.623848;84.0;84;31784.947713;37446.014373;5.0;5.0;572.733604;643.947266;6336.55;6346;646259.362093962;772006.46258392;5.999999999999999;6.0;13351.326139;14589.218852999998;53.99999999999999;54;49352.134888615;49986.313180615;759.0980158730158;776;127175.098930658;132654.463322262;4237.5;4243;747424.689100906;748326.568021906;;;;;15.999999999999998;16;12595.929519243;13762.478697243;83.5;84;9620.00030678;11334.212262458;1218.9333333333334;1220;154051.426560525;177206.967926647
2022-07-04;;;;;91.0;91;43014.537797;50977.706319;4.0;4.0;395.78745;425.03545;5628.361904761905;5643;625441.615763948;746873.249303148;1.0;1.0;0.0;0.0;52.888888888888886;53;44279.555186937;44279.555186937;721.4527777777778;737;114708.916147683;119731.207366352;4199.285714285714;4203;780657.341498208;782925.005517208;1.0;1.0;139.230773;166.603772;16.0;16;7633.255278938999;8737.730227231;90.0;90;9384.383786;11191.018694;1266.0;1266;167845.175666216;194215.573374659
2022-07-11;1.0;1.0;1137.425111;1254.014102;91.0;91;44893.600175;53019.978822;11.333333333333332;12.0;1498.6766;1578.566099;5579.39298245614;5588;609511.846800113;727972.410350781;6.796428571428571;9.0;8052.853355;8486.704263;53.0;53;33591.028696;33849.519258;683.6666666666666;691;126114.028463076;130386.438973076;4187.484920634921;4192;753075.989412795;755022.317790167;;;;;8.0;8;3154.629993;3482.645044;75.64285714285714;77;9727.018049495;11414.477354495;1326.4;1327;147495.173286726;170050.789951243
2022-07-18;;;;;106.6;107;46012.417877;54170.877635;7.999999999999998;8.0;2445.026712;2522.291798;5817.304761904762;5822;667890.896328287;796698.315094219;;;;;52.33333333333333;53;35612.017398;35654.941926;664.5452380952381;678;112364.53260697;117201.462809815;4184.647619047619;4195;789072.45256398;790269.359673913;;;;;19.0;19;6942.2722570000005;7666.076298;48.43809523809524;50;5833.467644626;6884.138441274;1287.9142857142856;1290;163217.780470975;188054.681248018
2022-07-25;;;;;91.26666666666668;92;48118.27201;56829.811583;4.0;4.0;1189.335441997;1273.956190997;6159.527777777777;6163;694762.263596522;828764.018204317;4.0;4.0;2466.690523;2466.690523;46.79999999999999;47;30248.487317;30248.487317;515.55;531;89611.72653;92767.184440277;4286.349098124098;4305;811821.464453027;813612.249257631;0.9999999999999996;1.0;561.282351;608.452159;14.999999999999998;15;7322.094255;8470.097661;70.0;71;9332.388704569;11028.730151569;1384.529411764706;1385;172808.629820269;199961.882525177
2022-08-01;;;;;98.0;98;41037.46871818;48188.370994021;4.138888888888888;5.0;2245.489048;2485.067238;6498.348717948717;6503;821118.8479175899;979545.871411737;7.2222222222222205;10.0;12488.537711508;12915.84057762;62.38461538461538;63;48484.348278563;48660.862029563;547.9539627039627;564;106481.001894805;110237.913116805;4555.441176470588;4560;844404.538048265;846584.104210877;1.0;1.0;440.665187;518.216365;14.0;14;16298.436407;19121.390991;43.0;43;5758.330575448;6556.86113237;1386.3333333333333;1387;201098.143644468;229300.93098409096
2022-08-08;;;;;84.0;84;31812.829854;37482.138253;8.222222222222221;9.0;2165.451256517;2528.59029796;6341.4409090909085;6350;793336.65516321;947413.704672941;1.0;1.0;0.0;0.0;53.0;53;32548.643555;33041.436007;415.4059200603318;425;83979.855495674;86218.306349347;4348.869047619048;4352;804202.163996538;805433.8133245381;;;;;8.0;8;8886.981085;10588.737637;19.0;19;3141.956831214;3668.315842214;1372.0;1372;183146.784904662;209879.815533457
