Date;reservas;CRM_messages;Competencia;Destination_ads;Display_Segmentado;Festivos;Google_Hotel;Google_PMAX;Google_Search_Brand;Google_Search_Hybrid;Google_Search_No_Brand;Meta_branding;Meta_performance;Metabuscadores;OTA_Travel_ads;Offline_propio;Prospecting;Retargeting;Seatback_cabeceros;TikTok;Youtube;ari_metric;gri_index;mpi_metric;nps_index;promocionblackfriday;promociondiscovery_dollars;promociondoublenights;promocionupto10-offseason;promocionupto10-season;promocionupto15-offseason;promocionupto15-season;promocionupto20-season;promocionupto25-season;promocionupto30-season;promocionupto35-offseason;promocionupto40-offseason;rgi_metric;group;relative_ari_metric
2022-03-28;2.0;257054.0;25659965.406451613;1923.0;366432.0;0.0;10563.036104938106;0.0;96926.0;9507.0;34704.0;196.0;51815.0;10507.089135779368;108448.29877140536;4733.51935483871;1383148.0;104512.0;0.0;0.0;0.0;1.0479479391686748;80.15666666673077;0.9116580725180724;53.65665896843726;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.9479241401566264;1;0.0479479391686747
2022-04-04;0.0;392066.0;23946485.73333333;2416.0;392070.0;0.0;12517.02383363522;0.0;116408.0;7696.0;33052.0;0.0;104729.0;9295.393876398395;128938.31164761206;4965.566666666667;1855466.0;126104.0;0.0;0.0;0.0;1.0153363531659918;79.85883064543269;0.9533105214817812;50.81785889407511;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9633800305263158;1;0.0153363531659918
2022-04-11;0.0;195997.0;23946485.73333333;2593.0;372049.0;1.0;9021.670461690495;0.0;100922.0;8209.0;35193.0;0.0;121847.0;7956.483366850578;167629.95302781707;4965.566666666667;1485993.0;110568.0;0.0;0.0;0.0;1.0408782918097166;79.56099462413462;0.9263159602753036;47.97905881971296;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9491178104493928;1;0.0408782918097165
2022-04-18;0.0;161806.0;23946485.73333333;3002.0;396936.0;1.0;12397.978866356036;0.0;105634.0;7962.0;24205.0;1391.0;229088.0;5504.017932740865;158186.6894351748;4965.566666666667;1654830.0;110315.0;0.0;0.0;0.0;1.0324004020725808;79.26315860283654;0.9444314128790324;45.140258745350806;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.968686245407258;1;0.0324004020725807
2022-04-25;0.0;139548.0;24801163.61935484;3022.0;348853.0;1.0;13121.357338477124;0.0;114850.0;12357.0;33194.0;648.0;166725.0;8523.273860885067;85952.97454642304;4643.038709677419;1461320.0;83579.0;0.0;0.0;0.0;1.0244069337862902;78.96532258153846;0.9795909802620968;42.30145867098865;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0014559898830646;1;0.0244069337862902
2022-05-02;0.0;308178.0;29929230.935483877;3800.0;312801.0;0.0;12827.191044857582;0.0;125740.0;31756.0;102884.0;910.0;56743.0;10079.045190057195;71366.56157632446;2707.870967741935;2628086.0;106292.0;0.0;0.0;0.0;1.052473140142857;78.78274524476923;0.9534639040873016;41.52885462447861;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.997109192686508;1;0.052473140142857
2022-05-09;0.0;196267.0;29929230.935483877;4345.0;394606.0;0.0;7665.703053086485;0.0;114627.0;37579.0;85450.0;800.0;114790.0;9867.2588358973;151126.21995687153;2707.870967741935;2270096.0;110906.0;0.0;0.0;0.0;1.05293446487251;78.600167908;0.9883935038844622;40.756250577968565;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0387473512071712;1;0.05293446487251
2022-05-16;0.0;263118.0;29929230.935483877;2840.0;369414.0;0.0;12242.71305282884;0.0;113096.0;16429.0;29287.0;294.0;112569.0;4109.557715827975;226630.5520983329;2707.870967741935;1748986.0;40380.0;0.0;0.0;0.0;1.0597199553134922;78.41759057123076;0.9651806307142856;39.983646531458525;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.018811524710317;1;0.0597199553134921
2022-05-23;1.0;166470.0;29929230.935483877;2676.0;348063.0;1.0;8975.08592677871;0.0;112445.0;24686.0;16429.0;1674.0;115044.0;5928.508568003848;240144.79763020025;2707.870967741935;1644833.0;27489.0;0.0;0.0;0.0;1.0289940897777778;78.23501323446153;1.004994030234127;39.21104248494848;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.027000394968254;1;0.0289940897777778
2022-05-30;1.0;206251.0;29413455.67204301;3772.0;386621.0;0.0;10335.784315833707;0.0;113055.0;22037.0;22455.0;459.0;58149.0;5744.796534811641;165855.25134796923;2772.344086021505;1855183.0;26724.0;0.0;0.0;0.0;1.0451271875039685;78.0524358976923;0.9730354794523808;38.43843843843844;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0136199821071428;1;0.0451271875039684
2022-06-06;0.0;154142.0;29207145.566666663;4915.0;396777.0;1.0;9993.574082358782;0.0;103077.0;12264.0;20948.0;148.0;126953.0;7558.671713553211;106265.92366397668;2798.133333333333;2089242.0;2029.0;0.0;0.0;0.0;1.03072523858;78.06521091841346;0.991386257508;39.58166207221792;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.025736573468;1;0.03072523858
2022-06-13;0.0;451104.0;29207145.566666663;3362.0;352910.0;0.0;8272.474745854437;0.0;103429.0;8870.0;11197.0;2346.0;148588.0;4054.2874159310486;97939.03942623766;2798.133333333333;1939186.0;13214.0;0.0;0.0;0.0;1.024075446316;78.0779859391346;0.9643419401;40.724885705997416;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.985549802308;1;0.024075446316
